�..sale_date,chrome_style_id,country_code,customer_postal_code,days_in_inventory,dealership_id,dealership_postal_code,dma_id,finance_type,make_name,model_name,model_year,new_or_used,odometer,price_invoice,price_msrp,price_retail,provider_name,sale_type,state,style_name,tc_region_id,truecar_sale,adjusted_sale_price,curve_rating,curve_average_market_price,discarded,price_ratio
1/3/2019 0:00,401733,US,16105-2343,NA,44273,16105,508,LOAN,Toyota,Highlander,2019,NEW,25,47090.77,50767,47060.38,dmi,RETAIL,PA,Hybrid Limited Platinum V6 AWD,3,FALSE,46750.32,GREAT,47294.16,FALSE,0.920880099
1/3/2019 0:00,401715,US,61265,22,14115,53177,617,,Toyota,Highlander,2019,NEW,11,41273.77,45330,40700.77,netlink,DEALER_TRADE,WI,Limited V6 AWD,2,FALSE,40883.92,GREAT,41305.08,FALSE,0.901917494
1/3/2019 0:00,401201,US,10701-6727,NA,30725,10468,501,CASH,Toyota,Sienna,2019,NEW,NA,NA,NA,NA,dmi,,NY,LE 7-Passenger AWD,3,FALSE,,,NA,NA,
1/3/2019 0:00,401706,US,92019,90,7267,92008,825,,Toyota,Highlander,2019,NEW,27,37930.03,40663,36814,reynolds,RETAIL,CA,XLE V6 FWD,7,FALSE,36872.9,LOW_OUTLIER,39268.79,FALSE,0.906792416
1/3/2019 0:00,401179,US,95825,NA,18940,95661,862,,Toyota,Sienna,2019,NEW,14,39147.77,42364,38424.04,reynolds,RETAIL,CA,SE 8-Passenger FWD,7,FALSE,38485.51,BELOW_MARKET,42157.43,FALSE,0.908448447
1/3/2019 0:00,401700,US,27893-3447,NA,18850,27896,560,LOAN,Toyota,Highlander,2019,NEW,17,45604.13,48710,42367,dmi,RETAIL,NC,Limited Platinum V6 FWD,5,TRUE,42769.48,GREAT,44454.55,FALSE,0.878043112
1/3/2019 0:00,401699,US,91702-6902,NA,16622,91740,803,LOAN,Toyota,Highlander,2019,NEW,38,41194.77,44288,41294,dmi,RETAIL,CA,Limited V6 FWD,7,FALSE,41686.29,GREAT,42337.67,TRUE,0.941254742
1/3/2019 0:00,402887,US,75048,35,7246,75228,623,,Toyota,Tacoma,2019,NEW,499,31175.09,32053,36777,reynolds,RETAIL,TX,SR Double Cab 5' Bed I4 2WD Automatic,6,FALSE,36835.84,HIGH_OUTLIER,30352.74,FALSE,1.14921661
1/3/2019 0:00,401273,US,77845,NA,6304,77802,625,,Toyota,Tundra,2019,NEW,181,35696.2,36860,35775.28,reynolds,RETAIL,TX,SR Double Cab 6.5' Bed 5.7L 4WD,6,FALSE,33328.52,BELOW_MARKET,35898.87,FALSE,0.904192078
1/3/2019 0:00,402612,US,11415-3208,NA,9689,7305,501,CASH,Kia,Optima,2019,NEW,NA,NA,NA,NA,dmi,,NJ,LX,3,FALSE,,,NA,TRUE,
1/3/2019 0:00,402613,US,44420-1401,NA,40817,44512,536,LOAN,Kia,Optima,2019,NEW,35,26402,27550,27550,dmi,RETAIL,OH,S,2,FALSE,27811.72,ABOVE_MARKET,27080.41,FALSE,1.009499819
1/3/2019 0:00,402612,US,37311,43,10233,37311,575,,Kia,Optima,2019,NEW,21,24195.94,26615,23999,reynolds,RETAIL,TN,LX,5,FALSE,22234.51,BELOW_MARKET,24858.98,FALSE,0.835412737
