dma_id,finance_type,make_name,model_name,model_year,odometer,price_invoice,price_msrp,price_retail,provider_name,sale_type,state,style_name,tc_region_id,truecar_sale,adjusted_sale_price,curve_rating,curve_average_market_price,discarded,price_ratio
807,UNKNOWN,Chevrolet,Corvette,2019,6,138530,136825,141715,reynolds,RETAIL,CA,ZR1 3ZR Coupe,7,FALSE,141941.74,ABOVE_MARKET,139121.26,FALSE,1.037396236
511,LOAN,Chevrolet,Malibu,2018,35,31378.21,32660,28300,dmi,RETAIL,VA,LT with 1LT,5,FALSE,28568.85,GOOD,28484.82,FALSE,0.87473515
698,LOAN,Ford,F-150,2018,17,49085.12,55160,46151.13,dmi,RETAIL,AL,XL 4WD SuperCrew 5.5' Box,5,TRUE,47094.31,LOW_OUTLIER,53892.9,TRUE,0.853776468
753,LOAN,Ford,F-150,2018,99,45762.42,37080.58,48262,dmi,UNKNOWN,AZ,XLT 4WD SuperCrew 5.5' Box,7,FALSE,49225.23,ABOVE_MARKET,48331.05,FALSE,0.91151
501,LOAN,Ford,F-150,2019,4,43227.67,47295,42827.01,dmi,RETAIL,NJ,XL SuperCrew 5.5' Box 4WD,3,FALSE,43233.86,GREAT,44188,FALSE,0.914131726
641,UNKNOWN,Ford,F-150,2018,25,61775.12,68885,64600,reynolds,RETAIL,TX,XL 4WD SuperCrew 5.5' Box,6,FALSE,64703.36,LOW_OUTLIER,92235.05,FALSE,0.939295347
524,CASH,Ford,F-150,2018,12,28253.32,29595,28253.32,dmi,DEALER_TRADE,GA,XL 2WD Reg Cab 6.5' Box,5,FALSE,28521.72,ABOVE_MARKET,27589.59,FALSE,0.963734415
524,UNKNOWN,Ford,Transit Van,2018,25,34252.94,37060,32761,reynolds,RETAIL,GA,"T-150 148"" Medium Roof 8600 GVWR Sliding RH Door",5,FALSE,33865.09,BELOW_MARKET,36183.44,FALSE,0.91379088
511,LOAN,Ford,Transit Van,2019,1,36086,38095,36086,dmi,DEALER_TRADE,MD,"T-250 130"" Low Rf 9000 GVWR Sliding RH Dr",3,FALSE,36428.81,GOOD,36298.29,FALSE,0.956262239
862,UNKNOWN,Chevrolet,Cruze,2019,36,21502.02,22660,21495,reynolds,RETAIL,CA,LT with 1SD Sedan,7,FALSE,21529.39,GREAT,22413.89,FALSE,0.950105472
536,LOAN,Chevrolet,Cruze,2019,88,23205.44,23795,22282.17,dmi,RETAIL,PA,LT with 1SD Sedan,3,FALSE,22493.85,GREAT,23414.47,FALSE,0.945318344
803,LOAN,Chevrolet,Corvette,2019,10,57744.5,60800,57744.5,dmi,RETAIL,CA,Stingray 1LT Coupe,7,FALSE,58293.07,HIGH_OUTLIER,56024.41,TRUE,0.958767599
546,LOAN,Chevrolet,Silverado 2500HD,2019,67,48941,53930,45273,dmi,FLEET,SC,Work Truck Crew Cab Standard Box 4WD,5,FALSE,45703.09,BELOW_MARKET,50327.41,FALSE,0.847452067
511,UNKNOWN,Chevrolet,Silverado 3500HD,2019,536,49217.85,37080.58,49217.85,reynolds,DEALER_TRADE,VA,LT Crew Cab Standard Box 4WD,5,FALSE,49296.59,GREAT,50951.73,FALSE,0.91151
803,UNKNOWN,Chevrolet,Colorado,2019,5,27710.45,28520,26984.7,reynolds,FLEET,CA,Work Truck Crew Cab Short Box RWD Automatic,7,FALSE,27027.87,ABOVE_MARKET,26035.59,FALSE,0.947681276
602,UNKNOWN,Chevrolet,Silverado 1500,2018,2,29113.59,30215,29113.59,reynolds,DEALER_TRADE,IL,Work Truck Regular Cab Long Box RWD,2,FALSE,29160.17,ABOVE_MARKET,28170.28,FALSE,0.965089194
641,LOAN,Chevrolet,Silverado 1500,2019,6,29859.35,41785,29545,netlink,RETAIL,TX,Work Truck Crew Cab Standard Box 4WD,6,FALSE,29677.95,LOW_OUTLIER,39817.52,TRUE,0.71025368
551,CASH,Chevrolet,Silverado 1500,2019,8,42251.18,43630,41207.13,dmi,WHOLESALE,MI,Work Truck Crew Cab Short Box 4WD,2,FALSE,41598.59,GOOD,40836.23,FALSE,0.953440064
790,UNKNOWN,GMC,Acadia,2019,37,36538.7,38915,37376.3,netlink,DEALER_TRADE,NM,SLE with SLE-2 FWD,6,FALSE,37544.49,ABOVE_MARKET,36346.85,FALSE,0.964781961
